,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,5000,95,1,34.1,37.66,0.5,11.71,12.47
1,10000,95,1,18.39,21.24,0.5,11.37,13.49
2,15000,95,1,16.33,20.27,0.5,9.32,11.67
3,20000,95,1,15.15,19.46,0.5,9.25,12.18
4,25000,95,1,14.4,18.91,0.5,8.86,11.71
5,30000,95,1,13.75,18.32,0.5,8.31,11.88
6,35000,95,1,13.11,17.69,0.5,8.24,11.49
7,40000,95,1,12.6,18.05,0.5,7.8,11.32
8,45000,95,1,12.14,17.86,0.5,7.67,11.97
9,50000,95,1,11.65,17.07,0.5,7.23,11.55
10,55000,95,1,11.46,17.95,0.5,7.3,12.03
11,60000,95,1,10.97,17.26,0.5,6.92,11.41
12,65000,95,1,10.62,18.41,0.5,6.71,11.59
13,70000,95,1,10.24,18.28,0.5,6.85,11.51
14,75000,95,1,9.94,18.42,0.5,6.3,12.12
15,80000,95,1,9.67,17.51,0.5,6.47,11.94
16,85000,95,1,9.5,17.48,0.5,6.31,12.22
17,90000,95,1,9.34,17.3,0.5,6.4,12.21
18,95000,95,1,8.81,18.34,0.5,6.05,11.84
19,100000,95,1,8.68,17.21,0.5,5.91,11.61
20,105000,95,1,8.6,18.26,0.5,5.87,11.54
21,110000,95,1,8.11,16.42,0.5,5.78,11.57
22,115000,95,1,8.09,16.95,0.5,5.69,11.14
23,120000,95,1,8.05,18.37,0.5,5.6,11.88
24,125000,95,1,7.86,17.86,0.5,5.61,12.34
25,130000,95,1,7.74,18.22,0.5,5.52,12.27
26,135000,95,1,7.56,17.4,0.5,5.43,11.81
27,140000,95,1,7.37,17.38,0.5,5.28,11.81
28,145000,95,1,7.3,18.38,0.5,5.3,12.39
29,150000,95,1,7.08,17.97,0.5,5.18,12.37
30,155000,95,1,7.07,17.91,0.5,5.22,12.53
31,160000,95,1,6.83,17.09,0.5,5.1,12.05
32,165000,95,1,6.92,18.0,0.5,4.99,12.19
33,170000,95,1,6.63,17.55,0.5,4.97,11.75
34,175000,95,1,6.76,18.23,0.5,4.98,12.32
35,180000,95,1,6.53,18.34,0.5,4.82,12.03
36,185000,95,1,6.45,17.64,0.5,4.87,11.95
37,190000,95,1,6.2,17.38,0.5,4.79,12.58
38,195000,95,1,6.15,17.43,0.5,4.78,12.43
39,200000,95,1,5.92,17.19,0.5,4.53,11.81
